title,job_description
software developer,accusoftam llc title software developer start date time soon possible duration permanent location yerevan armenia job description accusoftam llc looking motivated developers expanding current development team main responsibility hired persons development visiquest software system multiplatform visual framework advanced imagedata manipulating required qualifications bachelorsmasters degree cs related discipline mathematical background desired 3 years professional software development experience analytical technical interpersonal skills ability work multiple projects time experience system application programming windows andor unixlinux experience developing multithreaded distributed andor clientserver applications posix sockets desired excellent knowledge c c languages well ansiiso standards knowledge c perl unix shell scripts knowledge english russian languages communication level remuneration salary negotiable depends qualification application procedures position interest would like get information role please email cv questions accusoft please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 10 october 2006 application deadline 09 november 2006 company accusoftam llc business partner accusoft corp usa wwwaccusoftcom place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
software developer,boomerang software llc title software developer term full time start date time asap duration long term location yerevan armenia job description boomerang software llc currently looking candidates fulfill position software developer incumbent join growing team experienced developers create new exciting programs required qualifications proficiency symbian j2me c aspnet c php html java script minimum 1 year relevant work experience experience windows mobile ce symbian os palm os remuneration salary starting 1000 usd equivalent amd application procedures interested candidates email applications resumes office deliver hard copies 61 abelyan st 5th floor yerevan please mention subject line position applying shortlisted candidates invited interview please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 20 october application deadline 19 november 2006 company boomerang software llc yerevan office boomerang software inc headquartered boston massachusetts usa place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,alliance toward harnessing global opportunities athgo international title web developer term full time open eligibility criteria interested qualified candidates start date time asap duration long term location yerevan armenia job description looking qualified web developers job responsibilities participate new web site creation support programming site products required qualifications least 2 years work experience web development excellent knowledge html php javascript good knowledge mysql database structure experience adobe photoshop corel draw good knowledge english language highly motivated easygoing personality good team player remuneration salary based experience application procedures interested applicants please send resumes vah please put web developer subject line email short listed candidates contacted please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 25 october 2006 application deadline 24 november 2006 company athgo international non profit ngo registered united states whose mission train motivate next generation young professionals field international relations diplomacy leadership place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
network administrator,linuxoid title network administrator duration full time location yerevan armenia job description looking network administrator responsible overall network systems monitoring diagnosis providing technical support companys customers required qualifications knowledge local wide area networks routing networking principles armenian russian language native speaker fluency english language knowledge linux administration desirable work experience relevant field plus application procedures please send cv alex call 56 67 61 please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 13 november 2006 application deadline 30 november 2006 company linuxoid internet service provider place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
software developer,metakortex cjsc title software developer term full time duration long term location yerevan armenia job description primary objective position produce required product satisfies customer needs high quality timely job responsibilities follow software development processes established organization analyze business requirements clearly understand functional specifications develop architectural software design based functional specifications provide time based estimates software development activities provide implementations software product according specifications debug provide bug fixes according bug reports communicate effectively management team members keep commitments command current technology actively participate discussions regarding technical issues required qualifications minimum bachelors degree computer sciences related field 35 years programming experience extensive knowledge object oriented programming concepts extensive knowledge web development database technologies knowledge aspnet c vbnet ms sql oracle knowledge html javascript xml strongly preferred excellent understanding sdlc strongly preferred knowledge c java ajax desired remuneration salary competitive application procedures interested candidates email resumes armennikoghosyan andanikoghosyan alternate please mention subject line position applying shortlisted candidates invited interview please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 14 november 2006 application deadline 13 december 2006 company metacortex software development company place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,globalsoft title web developer term full time duration long term location yerevan armenia job description globalsoft llc currently looking experienced web developers excellent demonstrated problem solving skills job responsibilities write php javascript code work part software development team read understand modify existing code provide technical support assistance requested required qualifications bachelors degree computer sciences related field least 35 years professional work experience web development experience designing delivering complex web based applications using phpmysql html javascript knowledge apache web server unix website application deployment administration experience mysql database design programming administration familiarity web technologies webbased dynamic application development especially javascript dom xml xul plus ability work individual contributor part team ability learn quickly work pressure strong oral written communication skills remuneration salary based professional skills application procedures candidates meet qualifications interviewed required take test selected candidates notified interview dates directly interested please email resume listing qualifications software development related experience indicating contact details phone fax andor email address reached toglobalsoft please put web developer subject line email please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 20 november 2006 application deadline 19 december 2006 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,mpossible title web developer location yerevan armenia job description mpossible looking qualified web developer proven experience perform web development solutions following projects lifecycle processes required qualifications least 3 years work experience web development least 2 years work experience web development using asp net c knowledge xml soap web services asp net ado net professional work experience oracle ms sql databases including database design stored procedures scripting willingness increase competencies professionalism punctuality accuracy work ability work efficiently without supervision basic knowledge english language application procedures apply please email cvs toresume please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 24 november 2006 application deadline 23 december 2006 company mpossible armenian branch imate group developer supplier highend wireless integrated devices place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,toto international bookmakers title web developer term long term start date time immediately duration full time part time location yerevan armenia job description toto international bookmakers looking qualified web developer participate development maintenance inhouse corporate solutions main responsibilities position focused designing developing stateoftheart desktop webbased applications company well designing web interface ensuring compliance required standards job responsibilities write aspnet 20 based code write web front interfaces work part software development team read understand modify existing code required qualifications least 2 years work experience web development least 2 years work experience web development using aspnet c knowledge ajax web services sql adonet excellent knowledge html css javascript willingness participate creation web applications basic knowledge english language good knowledge technical english language knowledge macromedia flash desired remuneration salary based professional skills working hours application procedures candidates meet qualifications interviewed required take test selected candidates notified interview dates directly interested please send resume cover letter listing qualifications web development related experience indicating contact details phone fax andor email address reached resume please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 06 december 2006 application deadline 04 january 2007 company toto international bookmakers bookmaker company armenia place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,vested development inc title java developer announcement code vdi04 term full time intended audience professionals start date time asap duration permanent location yerevan armenia job description vested development inc actively looking java developers complex longterm projects position entails working sun ibm products portal solutions latest java technologies projects deal large wellknown customers job responsibilities software development according requirements accomplish assigned work according deadlines follow team rules required qualifications advanced knowledge oop professional work experience projects javadeveloper j2ee jsp servlets jdbc ejb jms struts year professional work experience development multilayered clientserver applications client server web application components professional work experience oracle ms sql databases experience ibm websphere weblogic jboss jrun ability develop quality code apply proper language constructions use quality algorithms willingness increase self competencies professionalism ability identify problems fly separate joint moments basic knowledge english language desired qualifications ability responsibly complete assigned tasks according deadlines ability work pressure adapt dynamic business environment make decisions take responsibility energetic capable team leader ability appropriately make decisions issues different complexity areas responsibility ability express thoughts clearly remuneration salary high application procedures please send cvs jobs refer announcement code subject line please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 12 january 2007 application deadline 31 january 2007 company vested development inc vdi international provider offshore software development services operating successfully since founding 1997 headquartered burlington vdi also office armenia vdi example mutually beneficial international cooperation formula success combines american management skills proven talent renowned technical scientific education armenia engineers additional notes vdis global software development teams impressive track record developing software applications meet critical needs fortune 500 companies team 300 employees vdi successfully completed dozens large projects various fields information technology including dms kms workflow b2b crm erp scm webbased applications etc 90 vdi projects completed time budget compared industry average 16 products successfully withstood test us marketplace demanding international user groups place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,lycos armenia title java developer location yerevan armenia job description lycos armenia looking motivated technical persons take new position java developer incumbent work lycos business solutions projects projects selected candidate chance cooperate colleagues germany required qualifications practical experience area informatics computational science least 3 years programming experience 1 lead role plus competent java j2ee applications surrounding tools technologies jsp xml struts familiarity mysql partitioned distributed scalable database solution experience software architecture design means uml ooad skilled unix linux good english language writing reading skills application procedures please send us cvs toinfo stating java developer subject line email additional information call 37410 512026 please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 18 january 2007 application deadline 31 january 2007 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
software developer,tx systems cjsc title software developer term full time start date time asap location yerevan armenia job description tx systems looking frontend developer engaged different entertainment related projects job responsibilities develop web 20 applications entertainment related products develop rich internet applications accurately plan software development activities follow established processes communicate effectively management team members report particular tasks procedures project managers usa europe required qualifications bachelors degree relevant field good knowledge ui development concepts patterns knowledge javascript ui development frameworks prototype dojo yahoo framework scriptacolous etc ability meet deadlines knowledge action script 20 flash 8 good knowledge english language good team player remuneration salary competitive application procedures interested candidates email cvs tohr phone calls please please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 02 february 2007 application deadline 15 february 2007 company tx systems cjsc startup software development company serving needs local foreign customers place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
network administrator,deno gold mining company title network administrator open eligibility criteria everyone location kapan syunik region armenia job description deno gold mining company looking network administrator finance department job responsibilities provide secure uninterrupted work accounting software network server finance department implement necessary prevention servicing procedures present solutions daily arising issues required qualifications higher education preferably majoring least three years work experience described relevant field reasonable command english language remuneration salary highly competitive application procedures interested please submit cover letter cv denoinfo please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 16 february 2007 application deadline 15 march 2007 company deno gold mining company ore mining processing enterprise south armenia place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
project manager,natfood cjsc title project manager term permanent location yerevan armenia job description na job responsibilities manage direct company towards objectives develop implement plans policies supervise production sales companys products interact existing potential customers suppliers required qualifications university degree business administration economics minimum 2 years relevant professional work experience managerial position strong analytical skills excellent communication negotiation skills ability work pressure self motivated committed organized personality excellent knowledge armenian russian english languages high level computer literacy application procedures apply email cv hr subject line message please mention position applying please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 23 february 2007 application deadline 01 march 2007 company natfood cjsc agroindustrial company armenia place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,lycos armenia title java developer location yerevan armenia job description lycos armenia looking motivated technical person take new position java developer incumbent work lycos business solutions projects projects selected candidate cooperate colleagues germany required qualifications practical experience area informatics computational science least 2 years programming experience competent java j2ee applications surrounding tools technologies jsp xml struts familiarity mysql partitioned distributed scalable database solution knowledge oracle plus experience software architecture design means uml ooad skilled unix linux good english language writing reading skills application procedures please send cvs info stating java developer subject line email additional information call 37410 512026 please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 26 february 2007 application deadline 23 march 2007 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,synergy international systems inc armenia title java developer start date time immediate duration long term location yerevan armenia job description synergy international systems incarmenia seeks fill position java developer responsibilities position focused core software development tasks synergy international systems inc job responsibilities translate design requirements specifications robust implementations design prototype develop manage technical aspects software perform assigned tasks precise timely manner document software products produced required qualifications degree computer science information technology related discipline bachelors degree relevant field masters degree preferred proven history producing quality software product commercial setting experience aspects software development process including design implementation testing delivery experience dynamic workplace solid software developing practice good knowledge object oriented programming least 5 years professional experience software development strong java programming skills least 3 years work experience j2ee development jsp java server faces spring framework least 3 years practical knowledge programming clientside java scripthtmlxml previous experience database systems one following platforms ms sql mysql oracle full understanding development lifecycle additional characteristics ability work pressure multitask environment ability work team selfdirected highly motivated excellent analytical problemsolving skills attention detail ability communicate read understand technical documentation english language application procedures interested please send resume cover letter listing qualifications software development related experience indicating contact details phone fax andor email address reached ms anahit sargsyan office manager email mail mailarm phone 374 10 56 76 81 54 40 24 candidates meet required qualifications interviewed required take test selected candidates notified interview dates directly please note initial consideration given applications received prior date indicated thereafter applications reviewed asneeded basis please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 27 february 2007 application deadline 15 march 2007 500 pm synergy international systems inc us software company operating armenia yerevan subsidiary specializing development integrated web portal web databases web services systems place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
database administrator,ktelecom cjsc title database administrator term full time open eligibility criteria interested candidates start date time asap duration permanent three months probation period location yerevan armenia job description ktelecom looking database administrator responsible maintaining 247 availability db backup recovery job responsibilities maintain oracle systems operations high availability install tune optimize troubleshoot oracle instances backup recovery strategies lead sql queries reports required qualifications 1 year experience database administration preferable oracle 2 years technical support experience strong proven experience plsql strong knowledge oracle backup recovery methodologies strategies unix administration skills plus strong knowledge rdbms relevant university degree fluency armenian english languages remuneration salary ktelecom provides competitive package salary benefits training opportunities employees continuous improvement professional skills application procedures please send cv todatadminjob please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 07 march 2007 application deadline 16 march 2007 company ktelecom cjsc vivacell established armenia january 2005 mobile network company place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
project manager,armentel cjsc title project manager announcement code pm07 open eligibility criteria interested qualified candidates location yerevan armenia job description armentel looking candidates fulfill position project manager job responsibilities manage project introducing new products services market conduct analyses projects new ideas demand newly introduced products participate project working group activities prepare project documentation business requirements procedures business plans technical economic justification conduct trainings staff new products safeguard business processes procedures providing products subscribers participate development measures aimed attracting subscribers utilizing new products prepare reports new products required qualifications university degree technical economic business administration additional professional training advantage knowledge basic principles mobile communication services foreign languages fluent russian english languages computer literacy excellent knowledge ms windows reliable accurate communicable personality initiative achievement orientation ability willingness work team good understanding experience marketing telecommunication innovative management application procedures qualified interested candidates kindly requested submit cvresume russian armenianenglish 2 haronyan str yerevan 0014 email hrm subject line email message please mention title position applying shortlisted candidates contacted please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 09 march 2007 application deadline 30 march 2007 company additional information company please visit wwwarmentelcom place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
project manager,synergy international systems inc armenia title project manager start date time immediate duration longterm location yerevan armenia job description armenian branch usbased software company seeking candidates proven history project management fill position project manager responsibilities position focused assistance senior project manager regional representative carrying monitoring evaluation project implementation procedures selected candidate supervise personnel involved project development well monitor actual project design job responsibilities create manage update project plans communication plans requirements matrices resource requirements project related documentation work internal groups determine overall project timeline resource availability ensure application development testing review processes service requirements goals met schedule conduct document project review meetings meet established deadlines travel abroad conduct needs assessments provide consulting services companys clients organize training sessions users synergys web database technology projects etc required qualifications degree information technologies related discipline masters degree preferred strong background hands experience project management software development experience dynamic workplace solid project management practice experience aspects software development process including design development implementation technical support least 4 years successful formal project management work knowledge project management principles practices techniques tools ability conduct feasibility studies needs assessments applications ability produce analytical reports communicate clients etc advanced verbal written communication skills expert knowledge ms project well strong excel skills strong experience designing developing managing applications knowledge htmlxml aspjsp uml diagrams fluency english language additional characteristics ability work pressure multitask environment ability work team selfdirected highly motivated strong interpersonal organizational skills ability deal effectively team environment excellent analytical problemsolving skills attention detail ability analyze complex problems interpret operational needs develop integrated creative solutions strong communication writing skills ability work directly development team ability articulate senior management clear concise understandable terms application procedures candidates meet qualifications interviewed required take test interested please send resume cover letter listing qualifications project management related experience indicating contact details phone fax andor email address reached ms anahit sargsyan office manager email mail mailarm phone 374 10 56 76 81 selected candidates notified interview dates directly please note initial consideration given applications received prior date indicated thereafter applications reviewed asneeded basis please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 16 march 2007 application deadline 31 march 2007 500 pm company synergy international systems inc us software development company operating armenia yerevan subsidiary place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
project manager,cornerstone media ltd title project manager open eligibility criteria interested qualified candidates start date time immediately duration long term possible 2 months probation period location yerevan armenia job description cornerstone looking candidates fill position project manager job responsibilities meet clients write proposals prepare project schedules budgets createmanage production schedules negotiate clients service providers coordinate logistics implementation ability write copy text treatments scripts desirable required qualifications minimum 12 years work experience university degree graduate degree western university plus fluent armenian russian english languages computer literacy excellent knowledge ms windows microsoft office especially word excel email internet knowledge ms project andor ms visio plus reliable ethical conduct strong organizational decisionmaking skills analytical skills detail oriented ability willingness work team well selfdirected work independently application procedures qualified interested candidates kindly requested submit cvresume english armenian toresume subject line email message please mention title position applying shortlisted candidates contacted please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 20 march 2007 application deadline 02 april 2007 company cornerstone media ltd media production company located yerevan place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,eworks design studio llc title web developer term full time start date time 01 april 2007 duration long term location yerevan armenia job description eworks design studio looking motivated developer take new position web developer incumbent work eworks design studios projects job responsibilities create innovative elegant web designs meet current business needs construct websites html dhtml java script develop high quality web tools using phpmysql responsible given tasks accomplish time work part web development team command current technology provide maintenance support portals customers required qualifications excellent knowledge phpmysql excellent knowledge html css adobe photoshop windows operating systems web related services knowledge java script macromedia flash actionscript xml strong problemsolving skills ability successful member team good knowledge technical english language good written oral skills russian armenian languages good knowledge internet ability research needed good communication skills good english french language writing reading skills remuneration salary highly competitive application procedures please send cvs eworks2006 put web developer subject line email please offer free lance services call please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 23 march 2007 application deadline 28 march 2007 company information company please visit companys websites wwweworksam wwwdesignstudioam place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,synergy international systems inc armenia title java developer duration longterm location yerevan armenia job description responsibilities position focused software development tasks related upcoming projects synergy international systems inc position filled software developer proven history producing quality software product commercial setting experience aspects software development process including design implementation testing delivery job responsibilities translate design requirements specifications robust implementations design prototype develop manage technical aspects software perform assigned tasks precise timely manner document software products produced required qualifications degree computer science information technology related discipline bachelors degree relevant field masters degree preferred good knowledge object oriented programming professional experience software development strong java programming skills working experience j2ee development jsp java server faces etc practical knowledgeprogramming clientside java scripthtmlxml previous experience database systems one following platforms ms sql mysql oracle experience dynamic workplace solid software developing practice plus full understanding development lifecycle additional characteristics ability work pressure multitask environment ability work team selfdirected highly motivated excellent analytical problemsolving skills attention detail ability read understand technical documentation english application procedures candidates meet qualifications interviewed required take test interested please send resume cover letter listing qualifications software development related experience indicating contact details phone fax andor email address reached ms anahit sargsyan office manager email mail mailarm phone 374 10 56 76 81 54 40 24 selected candidates notified interview dates directly please note initial consideration given applications received prior date indicated thereafter applications reviewed asneeded basis please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 26 march 2007 application deadline 15 april 2007 500 pm company synergy international systems inc us software development company operating armenia yerevan subsidiary place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,epam systems inc title java developer announcement code epm06 term full time intended audience professionals start date time asap duration permanent location yerevan armenia job description epam systems actively looking java developers complex longterm projects position entails working sun ibm products portal solutions latest java technologies job responsibilities develop software according requirements participate tasks estimation complete work according deadlines take part mentoring developers professional skills required qualifications good knowledge oop ood experience projects java developer j2ee jsp servlets jdbc ejb jms struts 1 year experience development multilayered clientserver applications client server components experience oracle ms sql databases good understanding design patterns basic knowledge uml ability develop quality code apply proper language constructions use quality algorithms punctuality accuracy work ability work efficiently without supervision willingness increase competencies professionalism basic knowledge english language fluent knowledge russian language desired qualifications ability responsibly complete assigned tasks according deadlines good productive capacity energetic personality ability express thoughts clearly ability work one task time without supervision remuneration salary high application procedures please email cvs jobs refer announcement code subject line please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 03 april 2007 application deadline 02 may 2007 company according brownwilson group survey epam systems 1 software engineering outsourcing services provider central eastern europe founded 1993 epam maintains north american headquarters lawrenceville nj epam software development centers located russia hungary belarus ukraine armenia httpwwwtheblackbookofoutsourcingcomtop10itooffshoreeasterncentraleuropehtml additional notes 2006 epam systems merged vdi presence development expertise armenia along global workforce combined company 18 branches 8 countries 2700 employees epam distinguished technology expertise proven customers sap reuters microsoft bea systems emc many others company combined expertise horizontal solutions crm erp dms cms scm eai bi place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
software developer,agrian armenia title software developer term full time open eligibility criteria qualified applicants start date time immediately location yerevan armenia job description na job responsibilities write develope new software work existing software webbased indexing company dealing agricultural products consulting services required qualifications strong knowledge html javascript sql one serverside web programming language coldfusion preferable asp php acceptable preferance given knowledge mysql server administration windows administration perl remuneration salary determined comensurate experience application procedures apply please send cv one page cover letter english stating goals future toarmenia please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 06 april 2007 application deadline 12 april 2007 company agrian armenia ersam llc provider software data tracking agriculture head office based california place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
project manager,cqg yerevan title project manager start date time soon possible location yerevan armenia job description primary objective position ensure highest possible efficiency level project team successful completion projects maintaining compliance process incumbent act liaison business project team instill passion excellence team job responsibilities manage project daytoday basis keep project track ensure software development process followed ensure requirements met expedite decision making ensure leaders aware customer needs contribute improvement development processes communicate honest straight forward feedback individual performance resource director individual develop highly motivated team attain deep understanding cqg product functionality architecture active learning act advocate customer needs required qualifications least 2 years expertise pm position least 3 successfully completed projects experience managing teams 20 developers strong background using development methodologies like rup msf psptsp fdd tdd strong technical background c c design expertise expertise using casetools like rr ea visio expertise using pm tools ms project mandatory high level initiative general project management knowledge planning metrologies risk management quality management resource management etc good communication skills including technical english language written spoken remuneration salary competitive salary benefits including medical insurance employee hisher family fitness program professional improvement seminars loan program application procedures interested candidates email resumes toyerjob questions please call 374 10 26 56 04 please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 11 april 2007 application deadline 10 may 2007 company cqg private held us company providing software trading business established 1980 headquartered denver colorado additional information company please visit website wwwcqgcom place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,boomerang software llc title java developer term full time start date time asap duration permanent location yerevan armenia job description boomerang software llc looking java developers engaged different long term projects required qualifications advanced knowledge oop ood 2 years professional work experience projects java developer j2se jsp servlets jdbc axis professional work experience development clientserver applications client server web application components ability develop high quality clean code apply proper language constructions use quality algorithms remuneration salary high application procedures interested please email cvs tooffice short listed candidates invited interview please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 12 april 2007 application deadline 11 may 2007 company boomerang software llc software development company place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,armenian datacom company title web developer term full time duration long term location yerevan armenia job description na job responsibilities develop software according requirements take part gathering requirements participate planning architecture development complete work according deadlines required qualifications excellent knowledge php mysqls sql javascript javascript domapi xml html practical experience object oriented programming object oriented software design work experience apache web server unixfreebsdlinux experience java development advantage source management cvs advantage work experience eclipse development environment advantage willing learn new programming languages technologies good knowledge technical english language punctuality accuracy work ability work efficiently minimal supervision motivated energetic personality willingness increase competencies professionalism creativity team spirit remuneration salary high application procedures please email detailed cv toashottonoyan indicating position applying subject line email shortlisted candidates contacted please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 17 april 2007 application deadline 15 may 2007 company adc armeniannorwegian joint venture formed 2006 telecommunications company yerevan supplying data communication broadband organisations located yerevan information visit wwwadcam place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
software developer,boomerang software llc title software developer term full timepart time open eligibility criteria applicants armenia countries intended audience interested candidates start date time asap duration permanent location yerevan armenia job description boomerang software llc looking software developers engaged different long term projects job responsibilities develop software according requirements participate meetings discussions complete work according deadlines required qualifications advanced knowledge oop ood professional work experience development clientserver applications client server web application components minimum 1 year experience c c assembler cobol basic knowledge ms sql oracle databases knowledge net ability develop high quality clean code apply proper language constructions use quality algorithms remuneration salary high application procedures interested please email cvs tooffice call 393221 x 22 information short listed candidates invited interview please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 18 april 2007 application deadline 17 may 2007 company boomerang software llc software development company place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
systems administrator,irex armenia title systems administrator term full time start date time immediate location yerevan armenia job description irex seeks qualified system administrator based yerevan office position reports irex armenia director job responsibilities install configure maintain organizations servers dns mail web proxy others unixlinux server services applications lans wans network equipment workstations equipment monitor manage performance maintain security servers dns mail web proxy others unixlinux server services applications lans wans network equipment workstations maintain update organization programmatic web sites utilizing web programming futures php perl mysql etc manage mailing lists perform periodic backups network provide consultation computer equipment regularly update software antivirus operating systems maintain contact isp regarding uninterruptible internet access hosting issues applicable maintain contacts equipment vendors regarding interruptible operation organizations equipment related duties assigned country director required qualifications university degree understanding ip protocol experience maintaining technical service computers peripherals 3 years relevant work experience punctuality ability deliver assigned tasks according deadlines fluency armenian russian languages technical knowledge english good interpersonal skills team player application procedures interested persons submit two reference letters resume ms arina zohrabian directoreducation programs manager sysadminresumes shortlisted candidates contacted phone calls please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 19 april 2007 application deadline 25 april 2007 company irex international nonprofit organization providing leadership innovative programs improve quality education strengthen independent media foster pluralistic civil society development place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
